S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],22523,10404,70,12537,346,2,2877,6446,0,6,50,9,6,51,0,19,0,759,58,1,6,107
2,Greater Mumbai,Mumbai[W],14544,13723,30,13918,5,0,263,6577,6084,0,21,27,29,25,6,64,0,661,310,0,0,0
3,Greater Mumbai,Mumbai[E],28610,9215,76,10185,22,0,343,6021,8173,0,21,46,30,24,0,53,3,719,506,0,11,0
4,Greater Mumbai,Borivali,23704,20727,52,17466,25,0,1276,3644,5563,1,5,170,0,10,91,0,0,726,0,19,0,3
5,Thane Region,Thane,53115,24819,228,16520,2393,0,1907,5185,3829,291,1839,86,3,84,92,4033,541,3866,432,64,201,129
6,Thane Region,Kalyan,68114,0,0,12118,0,0,311,1719,5625,0,60,114,4,20,163,470,11,284,1568,55,8,60
7,Thane Region,Vashi Navi Mumbai,22535,0,0,10343,2,0,2560,644,1944,109,158,36,13,14,28,1001,256,397,967,37,278,45
8,Thane Region,Vasai,51546,6759,41,9766,6,3,558,1655,2360,106,309,22,811,55,706,1575,22,2348,342,87,33,79
9,Panvel Region,Panvel,29891,3268,0,11475,2,0,1023,3648,1708,13,127,243,82,44,3125,3579,16,1357,260,112,7,578
10,Panvel Region,Pen-Raigad,15537,3144,25,2773,225,60,63,268,464,54,106,51,6,12,46,263,32,591,169,38,5,247
11,Panvel Region,Ratnagiri,14962,1191,384,1874,535,0,30,32,567,0,52,30,11,19,2,223,10,473,429,62,11,75
12,Panvel Region,Sindhudurg,11020,3247,32,1299,298,0,30,8,380,4,25,10,1,10,0,210,6,351,69,70,5,140
13,Kolhapur Region,Kolhapur,49712,20338,1162,10636,3,0,0,107,443,0,110,77,23,24,5,368,12,1307,196,1407,1502,210
14,Kolhapur Region,Sangli,17516,7680,1,3757,1100,0,0,164,206,0,5,45,0,3,0,386,16,1079,200,1499,167,33
15,Kolhapur Region,Satara,22579,8665,4721,4408,682,0,0,430,233,6,67,51,1,6,2,726,8,1270,252,1398,537,114
16,Kolhapur Region,Karad,12197,20,0,1484,50,0,59,125,70,0,15,33,2,8,0,227,0,370,70,278,209,8
17,Pune Region,Pune,109269,68794,406,49543,10,0,0,12617,4937,0,4921,113,10,28,3038,7188,37,4074,1869,1249,190,482
18,Pune Region,Solapur,50221,3656,52,4367,6,0,0,196,770,0,56,81,1,19,0,436,100,1480,454,1812,386,52
19,Pune Region,Pimpri-Chinchwad,54609,45796,27,23422,3516,0,0,3681,592,7,570,66,53,82,0,531,45,2294,1141,679,0,299
20,Pune Region,Baramati,17015,536,80,3217,2,0,0,88,61,0,21,34,9,13,113,199,6,1099,93,850,209,20
21,Pune Region,Akluj,20332,441,90,1652,0,0,21,52,5,0,10,40,0,1,0,165,0,895,285,1224,453,2
22,Nashik Region,Nashik,53416,21203,1291,14750,9,0,0,362,733,0,165,184,0,21,11,839,2,2025,1009,4716,629,183
23,Nashik Region,Ahmednagar,22800,10356,1136,3412,555,0,14,191,162,3,21,83,1,16,91,570,21,1495,220,1935,230,77
24,Nashik Region,Srirampur,28735,2456,152,3148,6,0,9,77,70,0,22,56,0,9,0,223,45,1276,780,1763,281,122
25,Nashik Region,Malegaon,21530,0,1719,2198,0,0,16,18,154,0,9,29,0,1,46,95,1,522,136,1491,382,42
26,Dhule Region,Dhule,19228,3888,471,2299,250,0,5,49,79,0,19,20,0,6,389,1017,14,194,221,765,210,41
27,Dhule Region,Jalgaon,32189,9063,986,2963,729,2,1,37,237,0,58,26,0,1,0,237,25,65,657,1569,427,29
28,Dhule Region,Nandurbar,15418,2343,77,2173,577,32,1,3,4,0,10,10,0,2,0,7,9,92,210,867,235,5
29,Aurangabad Region,Aurangabad,59982,5389,467,8703,8,0,38,147,1277,345,169,106,8,14,0,967,15,1515,433,1567,212,113
30,Aurangabad Region,Jalna,21797,2531,398,1134,328,0,19,3,46,0,0,31,1,1,0,134,4,550,126,1271,140,75
31,Aurangabad Region,Beed,9173,4817,156,489,486,0,0,49,21,0,18,5,6,2,58,129,18,153,132,618,157,39
32,Latur Region,Latur,21857,1194,217,1561,846,0,20,181,178,2,40,68,1,8,2,267,13,764,217,456,65,44
33,Latur Region,Osmanabad,9939,2806,0,937,240,0,0,202,49,0,1,40,1,0,23,220,8,478,138,943,0,14
34,Latur Region,Ambejogai,7405,1828,265,471,216,0,19,19,0,0,7,18,0,1,6,123,3,184,28,210,26,20
35,Nanded Region,Nanded,26795,2,949,2205,0,0,4,29,168,12,15,31,0,12,0,532,3,478,365,855,77,25
36,Nanded Region,Parbhani,16758,237,168,677,380,0,0,31,7,0,27,13,3,6,0,112,0,11,639,658,111,50
37,Nanded Region,Hingoli,7502,673,23,420,73,0,0,2,0,0,2,0,0,3,0,45,0,158,0,456,62,0
38,Amrawati Region,Amrawati,41648,0,0,3682,137,0,7,53,503,25,27,131,0,11,221,189,21,520,271,594,358,37
