S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],18232,13341,15,14986,16,0,2643,606,0,0,0,0,0,0,0,0,0,288,205,0,0,7
2,Greater Mumbai,Mumbai[W],31172,13584,31,28656,1316,0,744,996,4813,0,22,163,6,25,0,293,0,468,968,0,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,19681,9237,32,11081,116,0,637,465,5164,0,12,142,10,20,0,33,0,190,508,0,0,6
5,Thane Region,Thane,46957,8314,13,28852,523,7,0,3280,1543,37,1511,99,55,126,104,3996,453,5926,5630,167,344,367
6,Thane Region,Kalyan,42525,0,0,10999,10,35,6,304,603,230,63,29,26,32,4,244,393,1164,152,12,34,0
7,Thane Region,Vashi Navi Mumbai,17479,26,0,11942,0,0,47,851,628,4,275,171,10,30,901,601,254,515,1567,0,494,49
8,Thane Region,Vasai,25757,6881,99,9727,1,20,0,86,273,5,142,40,5,41,265,301,295,1829,249,11,6,119
9,Panvel Region,Panvel,26237,0,0,12627,0,0,0,446,284,1,54,78,29,23,1622,856,276,759,862,143,18,218
10,Panvel Region,Pen-Raigad,15780,0,0,3415,536,0,0,129,47,654,26,24,7,36,43,265,33,1076,145,141,34,177
11,Panvel Region,Ratnagiri,12582,3303,0,2498,405,0,0,27,663,0,40,25,8,25,0,415,13,1048,263,24,4,68
12,Panvel Region,Sindhudurg,6939,3515,0,1216,272,0,2,4,356,275,9,6,2,5,0,296,1,682,50,9,11,13
13,Kolhapur Region,Kolhapur,62899,6753,731,8147,520,0,12,65,320,48,110,43,10,34,216,793,30,1999,737,5052,1711,254
14,Kolhapur Region,Sangli,24862,2566,6216,3364,1167,0,15,52,489,0,4,53,1,13,17,535,12,1321,752,2195,699,123
15,Kolhapur Region,Satara,27853,3687,3615,3686,950,0,0,410,119,0,18,33,3,40,0,570,12,1613,296,1792,848,163
16,Kolhapur Region,Karad,10163,1142,919,1249,351,0,0,105,31,0,9,8,3,85,0,198,0,476,134,447,345,37
17,Pune Region,Pune,146088,152,0,46433,941,0,0,1032,2731,0,344,0,0,27,37,657,55,2641,1016,270,2,130
18,Pune Region,Solapur,33698,4684,2261,2512,1098,0,0,130,139,0,0,39,19,16,0,184,41,205,1455,804,215,227
19,Pune Region,Pimpri-Chinchwad,83171,0,0,24575,0,0,0,2233,386,545,513,72,32,86,0,1005,24,3019,1062,1027,92,228
20,Pune Region,Baramati,16841,484,0,2510,119,0,0,26,7,0,35,31,16,6,0,325,30,865,204,1043,468,89
21,Pune Region,Akluj,13678,0,0,1041,207,0,0,0,37,0,1,15,3,7,0,179,0,477,415,1116,314,105
22,Nashik Region,Nashik,57267,14095,293,11735,1775,0,14,165,857,0,168,42,0,71,2,493,109,3182,645,4895,740,269
23,Nashik Region,Ahmednagar,23467,5191,1171,2649,636,0,2,94,0,0,7,13,4,19,1,303,27,953,387,1439,263,80
24,Nashik Region,Srirampur,34878,662,62,3223,538,0,0,46,63,0,30,70,3,12,27,175,54,930,662,1511,725,127
25,Nashik Region,Malegaon,21277,611,165,2169,3,0,5,14,437,0,0,21,0,18,0,201,0,520,349,1429,616,0
26,Dhule Region,Dhule,16183,1498,420,2149,275,0,4,25,324,25,0,11,1,44,115,564,1,199,332,1140,386,12
27,Dhule Region,Jalgaon,30682,5475,933,2333,849,0,0,27,1318,0,25,32,8,46,0,201,4,99,1087,1606,454,27
28,Dhule Region,Nandurbar,7731,0,1780,916,93,32,0,208,0,2,0,2,0,7,0,56,4,9,638,1023,252,15
29,Aurangabad Region,Aurangabad,68847,2644,16,3171,1383,0,0,0,943,646,125,127,286,41,0,849,66,1691,2962,1143,468,0
30,Aurangabad Region,Jalna,14770,531,865,928,451,0,0,0,225,0,0,9,2,8,0,96,3,65,568,921,138,27
31,Aurangabad Region,Beed,8902,693,432,585,697,0,0,0,210,0,0,0,0,0,0,179,0,585,866,529,178,0
32,Latur Region,Latur,15039,4074,2721,2134,1026,0,0,52,224,58,30,46,0,13,0,206,9,721,329,485,97,48
33,Latur Region,Osmanabad,11238,1211,196,818,406,0,0,119,146,0,3,10,1,6,0,140,0,452,104,1184,124,35
34,Latur Region,Ambejogai,6681,847,138,398,404,0,0,0,17,0,0,7,1,5,7,56,4,23,253,475,70,29
35,Nanded Region,Nanded,49720,1423,2072,2611,211,0,0,184,2054,0,0,67,0,44,0,898,9,642,1075,470,333,58
36,Nanded Region,Parbhani,14881,204,352,705,908,0,0,6,1219,0,7,5,0,11,13,116,11,16,679,787,176,31
37,Nanded Region,Hingoli,8834,489,25,516,272,0,9,0,194,0,27,0,0,5,0,22,0,236,47,370,55,5
38,Amrawati Region,Amrawati,31264,4499,416,2466,312,11,41,19,330,0,32,35,20,40,0,284,4,824,140,1511,146,20
39,Amrawati Region,Buldhana,19316,1223,581,977,489,0,0,71,886,0,0,14,2,4,0,159,0,141,665,1508,391,3
40,Amrawati Region,Yawatmal,16452,5006,714,1886,577,0,72,6,420,0,33,28,13,1,0,195,0,874,144,908,132,2
41,Amrawati Region,Akola,16680,6626,205,1628,135,0,10,15,778,0,7,7,0,8,0,112,33,786,101,937,195,48
42,Amrawati Region,Washim,8963,1442,239,422,352,0,0,1,597,0,4,12,0,9,1,37,5,362,58,1209,151,0
43,Nagpur[U] Region,Nagpur,21988,8573,0,5955,1420,0,0,138,397,0,29,34,0,30,0,131,31,773,313,32,15,6
44,Nagpur[U] Region,Wardha,14691,0,7023,884,319,0,0,2,10,0,1,16,13,4,10,78,2,567,218,556,61,62
45,Nagpur[U] Region,Nagpur[East],24516,637,0,3177,0,0,0,67,391,0,2,59,7,18,0,126,2,715,257,12,0,0
46,Nagpur[R] Region,Nagpur,28954,4373,180,2484,1526,0,0,86,581,513,31,129,85,25,213,1738,1,1443,90,925,294,159
47,Nagpur[R] Region,Gadchiroli,6586,1628,4,500,169,0,0,23,2,0,5,3,0,11,0,24,0,241,3,496,138,13
48,Nagpur[R] Region,Chandrapur,19245,3754,4044,2267,478,0,0,48,56,0,24,24,1,37,83,593,14,971,72,802,170,81
49,Nagpur[R] Region,Gondia,12883,1033,434,648,319,0,0,4,0,2,30,33,1,10,0,189,5,239,24,399,110,21
50,Nagpur[R] Region,Bhandara,10417,2117,0,861,196,0,0,7,52,0,1,20,0,13,1,101,2,216,73,468,240,10
